"campaignid","sample","family","genus","species"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB3","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB3","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB3","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB3","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB3","Unknown","Unknown","unknown"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB30","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB30","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB30","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB30","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB4","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB4","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB4","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB4","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB4","Serranidae","Epinephelus","areolatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB9","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB9","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB9","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB9","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Acanthuridae","Naso","fageni"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Chaetodontidae","Heniochus","acuminatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Labridae","Bodianus","solatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Lethrinidae","Lethrinus","ravus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Lutjanidae","Lutjanus","lemniscatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Mullidae","Parupeneus","indicus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Mullidae","Parupeneus","multifasciatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Pomacanthidae","Apolemichthys","trimaculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","SUS","SUS","sus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Serranidae","Cephalopholis","sonnerati"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Serranidae","Epinephelus","multinotatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP10","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP10","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP10","Lutjanidae","Aphareus","rutilans"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP10","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP11","Ephippidae","Platax","batavianus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP11","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP11","Lethrinidae","Lethrinus","olivaceus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP11","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP13","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP13","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP13","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP13","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP14","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP14","Carangidae","Carangoides","gymnostethus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP14","Carangidae","Gnathanodon","speciosus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP14","Carcharhinidae","Carcharhinus","albimarginatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP14","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP14","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP15","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP15","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP15","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP15","Lutjanidae","Aphareus","rutilans"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP15","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP15","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP16","Acanthuridae","Naso","fageni"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP16","Carangidae","Carangoides","chrysophrys"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP16","Carangidae","Carangoides","fulvoguttatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP16","Lethrinidae","Gymnocranius","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP16","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP16","Lutjanidae","Aphareus","rutilans"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP16","Lutjanidae","Lutjanus","sebae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP16","Lutjanidae","Pristipomoides","sp1"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP16","Serranidae","Epinephelus","multinotatus"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP17","Carangidae","Carangoides","chrysophrys"
