EMOB,Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
,PCFBP14,-22.766,113.5392,20210908,09:47,09:54,,Pt Cloates,,84,N/A,No,,"Repeated. Resynced, edited mark in ipad",RAW2,TOP ONLY,N/A,,,,N/A,N/A,N/A,N/A,N/A,tips over
,PCFBP13,-22.7634,113.5347,20210908,10:02,10:09,,Pt Cloates,,91,N/A,No,,Checked 1 cam after. Re-synced,RAW2,TOP ONLY,N/A,,,,N/A,N/A,N/A,N/A,N/A,tips over
,PCFB1,-22.7596,113.5395,20210908,10:24,10:32,,Pt Cloates,,83,Molly Gerrans,Yes,, Added weight and subsurface float. Andy had wrong point (BRUV),RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFBP14,-22.766,113.5392,20210908,10:41,10:49,,Pt Cloates,,83,Molly Gerrans,Yes,,Re-do again. Claude not confident,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,tips over 1/2 through
,PCFBP13,-22.7634,113.5347,20210908,10:56,11:05,,Pt Cloates,,92,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,"1/2 tips over, no fish "
,PCFB9,-22.7602,113.5435,20210908,11:14,11:21,,Pt Cloates,,83,Molly Gerrans,Yes,,Filmed 1 then filmed 9. Should be 9.,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB21,-22.7582,113.5431,20210908,11:30,11:39,,Pt Cloates,,82,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFB1,-22.7596,113.5395,20210908,11:45,11:53,,Pt Cloates,,86,Molly Gerrans,Yes,,Checked cams afterwards,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,1/2 tips over
,PCFBP17,-22.7565,113.5294,20210908,12:01,12:09,,Pt Cloates,,99,Molly Gerrans,Yes,,,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
,PCFBP18,-22.7533,113.5301,20210908,12:15,12:24,,Pt Cloates,,98,Molly Gerrans,Yes,,Changed float.,RAW2,TOP ONLY,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,,
