"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS","PCFB2","20210826_BOTTOM_2_0002_0001.mp4","2.94934","Carangidae","Carangoides","chrysophrys",1,"-22.696","113.5523",NA,NA,"Pt Cloates",NA,NA,"91","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB2","20210826_BOTTOM_2_0002_0001.mp4","2.17829","Lutjanidae","Pristipomoides","sp1",10,"-22.696","113.5523",NA,NA,"Pt Cloates",NA,NA,"91","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB20","20210826_BOTTOM_3_0004_0001.mp4","1.11528","Carcharhinidae","Carcharhinus","albimarginatus",1,"-22.7139","113.5477",NA,NA,"Pt Cloates",NA,NA,"96.4","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB20","20210826_BOTTOM_3_0004_0001.mp4","2.06901","Lethrinidae","Gymnocranius","sp1",1,"-22.7139","113.5477",NA,NA,"Pt Cloates",NA,NA,"96.4","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB20","20210826_BOTTOM_3_0004_0001.mp4","1.61717","Pinguipedidae","Parapercis","nebulosa",1,"-22.7139","113.5477",NA,NA,"Pt Cloates",NA,NA,"96.4","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB21","20210908_BOTTOM_4_0003_0001.mp4","1.15560","Balistidae","Sufflamen","fraenatum",1,"-22.7582","113.5431",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB21","20210908_BOTTOM_4_0003_0001.mp4","2.71021","Lutjanidae","Lutjanus","sebae",1,"-22.7582","113.5431",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB21","20210908_BOTTOM_4_0003_0001.mp4","1.17256","Pomacanthidae","Chaetodontoplus","personifer",4,"-22.7582","113.5431",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB21","20210908_BOTTOM_4_0003_0001.mp4","1.22205","Scaridae","Scarus","spp",1,"-22.7582","113.5431",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB21","20210908_BOTTOM_4_0003_0001.mp4","0.32811","Unknown","Unknown","Unknown",2,"-22.7582","113.5431",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB22","20210826_BOTTOM_1_0007_0001.mp4","0.00000","Acanthuridae","Naso","spp",1,"-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
