"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2022-05_PtCloates_BOSS","B64","-22.7345","113.5505",NA,NA,"Pt Cloates","No-take",NA,"80.1","Yes","Yes"
"2022-05_PtCloates_BOSS","112","-22.7339","113.5532",NA,NA,"Pt Cloates","No-take",NA,"76.9","Yes","Yes"
"2022-05_PtCloates_BOSS","141","-22.7323","113.544",NA,NA,"Pt Cloates","No-take",NA,"88.4","Yes","Yes"
"2022-05_PtCloates_BOSS","B49","-22.7309","113.5442",NA,NA,"Pt Cloates","No-take",NA,"88.3","Yes","Yes"
"2022-05_PtCloates_BOSS","146","-22.7285","113.5486",NA,NA,"Pt Cloates","No-take",NA,"82.4","Yes","Yes"
"2022-05_PtCloates_BOSS","119","-22.727","113.5473",NA,NA,"Pt Cloates","No-take",NA,"86.6","Yes","Yes"
"2022-05_PtCloates_BOSS","B54.2","-22.7654","113.5391",NA,NA,"Pt Cloates","No-take",NA,"84","Yes","Yes"
"2022-05_PtCloates_BOSS","B52","-22.7635","113.5348",NA,NA,"Pt Cloates","No-take",NA,"91","Yes","Yes"
"2022-05_PtCloates_BOSS","132","-22.7618","113.5447",NA,NA,"Pt Cloates","No-take",NA,"78.1","Yes","Yes"
"2022-05_PtCloates_BOSS","105","-22.7605","113.5445",NA,NA,"Pt Cloates","No-take",NA,"80.8","Yes","Yes"
"2022-05_PtCloates_BOSS","153","-22.7589","113.5459",NA,NA,"Pt Cloates","No-take",NA,"78.2","Yes","Yes"
"2022-05_PtCloates_BOSS","B55","-22.7563","113.5294",NA,NA,"Pt Cloates","No-take",NA,"98.5","Yes","Yes"
"2022-05_PtCloates_BOSS","B56","-22.7533","113.5305",NA,NA,"Pt Cloates","No-take",NA,"98.6","Yes","Yes"
"2022-05_PtCloates_BOSS","B60","-22.751","113.539",NA,NA,"Pt Cloates","No-take",NA,"89.8","Yes","Yes"
"2022-05_PtCloates_BOSS","125","-22.7521","113.5422",NA,NA,"Pt Cloates","No-take",NA,"84.7","Yes","Yes"
"2022-05_PtCloates_BOSS","129","-22.754","113.5469",NA,NA,"Pt Cloates","No-take",NA,"80.4","Yes","Yes"
"2022-05_PtCloates_BOSS","144","-22.7524","113.5496",NA,NA,"Pt Cloates","No-take",NA,"76.7","Yes","Yes"
"2022-05_PtCloates_BOSS","131","-22.7446","113.5561",NA,NA,"Pt Cloates","No-take",NA,"71","Yes","Yes"
"2022-05_PtCloates_BOSS","154","-22.7377","113.5528",NA,NA,"Pt Cloates","No-take",NA,"75","Yes","Yes"
"2022-05_PtCloates_BOSS","126","-22.7305","113.5582",NA,NA,"Pt Cloates","No-take",NA,"72.9","Yes","Yes"
"2022-05_PtCloates_BOSS","152","-22.7255","113.5554",NA,NA,"Pt Cloates","No-take",NA,"77.1","Yes","Yes"
"2022-05_PtCloates_BOSS","104","-22.7191","113.5566",NA,NA,"Pt Cloates","No-take",NA,"77.7","Yes","Yes"
"2022-05_PtCloates_BOSS","148","-22.715","113.5573",NA,NA,"Pt Cloates","No-take",NA,"78","Yes","Yes"
"2022-05_PtCloates_BOSS","121","-22.7164","113.5548",NA,NA,"Pt Cloates","No-take",NA,"77.8","Yes","Yes"
"2022-05_PtCloates_BOSS","B50","-22.7172","113.5528",NA,NA,"Pt Cloates","No-take",NA,"80.2","Yes","Yes"
"2022-05_PtCloates_BOSS","128","-22.7219","113.5498",NA,NA,"Pt Cloates","No-take",NA,"84.6","Yes","Yes"
