"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Left_MAH00203.MP4","11.75508","Lethrinidae","Lethrinus","rubrioperculatus",2,"-22.7216","113.5505","20210907","13:14","Pt Cloates",NA,NA,"82","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Left_MAH00203.MP4","13.46039","Lutjanidae","Lutjanus","sebae",4,"-22.7216","113.5505","20210907","13:14","Pt Cloates",NA,NA,"82","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Left_MAH00202.MP4","5.01000","Lutjanidae","Pristipomoides","sp1",2,"-22.7216","113.5505","20210907","13:14","Pt Cloates",NA,NA,"82","Henry Evans","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Left_MAH00292.MP4","35.59556","Balistidae","Abalistes","filamentosus",1,"-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Left_MAH00292.MP4","24.05625","Carangidae","Carangoides","fulvoguttatus",3,"-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Left_MAH00293.MP4","45.74097","Carangidae","Carangoides","orthogrammus",1,"-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Left_MAH00292.MP4","14.97274","Carangidae","Seriola","rivoliana",1,"-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Left_MAH00292.MP4","27.90399","Lethrinidae","Lethrinus","nebulosus",2,"-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Left_MAH00293.MP4","56.55956","Lethrinidae","Lethrinus","ravus",5,"-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB21","Left_MAH00294.MP4","59.99772","Lutjanidae","Lutjanus","sebae",2,"-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
