sample,PCO1,PCO2,method
2021-08_PtCloates_BOSS.PCFBP13,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCFBP14,0.096460542,-0.025943607,BOSS
2021-08_PtCloates_BOSS.PCFBP17,0.222910837,-0.062711169,BOSS
2021-08_PtCloates_BOSS.PCFBP18,0.222354512,-0.04921528,BOSS
2021-08_PtCloates_BOSS.PCFBP2,0.362262234,-0.187946385,BOSS
2021-08_PtCloates_BOSS.PCFBP3,-0.099888533,-0.069520127,BOSS
2021-08_PtCloates_BOSS.PCFBP4,0.021890087,-0.080442857,BOSS
2021-08_PtCloates_BOSS.PCFBP5,-0.143318226,0.16864247,BOSS
2021-08_PtCloates_BOSS.PCPREF1,-0.084249001,0.118092259,BOSS
2021-08_PtCloates_BOSS.PCPREF10,0.0637226,-0.113656897,BOSS
2021-08_PtCloates_BOSS.PCPREF11,0.073430073,-0.034922553,BOSS
2021-08_PtCloates_BOSS.PCPREF15,-0.232720113,-0.183163044,BOSS
2021-08_PtCloates_BOSS.PCPREF16,-0.106931844,0.366828936,BOSS
2021-08_PtCloates_BOSS.PCPREF6,-0.033619035,0.270038189,BOSS
2021-08_PtCloates_BOSS.PCPREF7,0.153546793,-0.081485514,BOSS
2021-08_PtCloates_BOSS.PCPREF8,-0.129099641,0.181593809,BOSS
2021-08_PtCloates_BOSS.PCPREF9,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCSB10,0.020041327,0.29530515,BOSS
2021-08_PtCloates_BOSS.PCSB16,0.253941807,-0.16440724,BOSS
2021-08_PtCloates_BOSS.PCSB19,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCSB21,0.184147472,0.339691287,BOSS
2021-08_PtCloates_BOSS.PCSB22,0.222914195,-0.045159117,BOSS
2021-08_PtCloates_BOSS.PCSB23,-0.121329362,0.484917431,BOSS
2021-08_PtCloates_BOSS.PCSB26,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCSB29,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCSB3,0.051347322,0.246803233,BOSS
2021-08_PtCloates_BOSS.PCSB30,0.228590739,-0.083703542,BOSS
2021-08_PtCloates_BOSS.PCSB31,0.137438085,-0.04450729,BOSS
2021-08_PtCloates_BOSS.PCSB33,-0.055137648,0.232233707,BOSS
2021-08_PtCloates_BOSS.PCSB34,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCSB38,0.323291684,0.366219534,BOSS
2021-08_PtCloates_BOSS.PCSB42,0.178559278,0.333043873,BOSS
2021-08_PtCloates_BOSS.PCSB44,-0.100950207,0.196660455,BOSS
2021-08_PtCloates_BOSS.PCSB45,0.209203885,-0.033787082,BOSS
2021-08_PtCloates_BOSS.PCSB5,0.358949039,-0.056402769,BOSS
2021-08_PtCloates_BOSS.PCSB7,-0.233469343,0.174788335,BOSS
2021-08_PtCloates_BOSS.PCSB8,0.3661985,-0.080384495,BOSS
2021-08_PtCloates_BOSS.PCSB9,0.066386052,-0.066640977,BOSS
2021-08_PtCloates_BOSS.PCSBP1,-0.332759312,-0.015484674,BOSS
2021-08_PtCloates_BOSS.PCSBP10,-0.128507873,-0.065291264,BOSS
2021-08_PtCloates_BOSS.PCSBP11,-0.072021314,-0.046851447,BOSS
2021-08_PtCloates_BOSS.PCSBP15,0.499622876,-0.083317312,BOSS
2021-08_PtCloates_BOSS.PCSBP16,0.118544377,0.332051279,BOSS
2021-08_PtCloates_BOSS.PCSBP6,0.297206697,-0.05405224,BOSS
2021-08_PtCloates_BOSS.PCSBP7,0.220196554,0.332970078,BOSS
2021-08_PtCloates_BOSS.PCSBP8,-0.193022855,-0.095505713,BOSS
2021-08_PtCloates_BOSS.PCSBP9,0.314617766,-0.040854457,BOSS
2022-05_PtCloates_stereo-BRUVS.1,-0.534823417,-0.124385425,BRUV
2022-05_PtCloates_stereo-BRUVS.11,-0.459285632,-0.046908488,BRUV
2022-05_PtCloates_stereo-BRUVS.12,-0.55086009,-0.182475528,BRUV
2022-05_PtCloates_stereo-BRUVS.13,-0.497244683,-0.107679881,BRUV
2022-05_PtCloates_stereo-BRUVS.14,-0.25412325,0.082600604,BRUV
2022-05_PtCloates_stereo-BRUVS.15,-0.57246187,-0.102794192,BRUV
2022-05_PtCloates_stereo-BRUVS.16,-0.560505837,-0.08978724,BRUV
2022-05_PtCloates_stereo-BRUVS.17,-0.529647041,-0.214072145,BRUV
2022-05_PtCloates_stereo-BRUVS.18,-0.597800783,-0.049612736,BRUV
2022-05_PtCloates_stereo-BRUVS.19,-0.401166988,-0.189435948,BRUV
2022-05_PtCloates_stereo-BRUVS.2,-0.449043053,-0.172462955,BRUV
2022-05_PtCloates_stereo-BRUVS.21,-0.471034622,-0.097846894,BRUV
2022-05_PtCloates_stereo-BRUVS.22,-0.528870601,-0.270993989,BRUV
2022-05_PtCloates_stereo-BRUVS.23,-0.447277947,0.005053998,BRUV
2022-05_PtCloates_stereo-BRUVS.25,-0.667834248,-0.11686963,BRUV
2022-05_PtCloates_stereo-BRUVS.26,-0.420559556,-0.028375959,BRUV
2022-05_PtCloates_stereo-BRUVS.27,-0.50291434,-0.109180271,BRUV
2022-05_PtCloates_stereo-BRUVS.3,-0.569055569,-0.095229726,BRUV
2022-05_PtCloates_stereo-BRUVS.4,-0.517997974,-0.160816828,BRUV
2022-05_PtCloates_stereo-BRUVS.5,-0.545522122,-0.076075592,BRUV
2022-05_PtCloates_stereo-BRUVS.6,-0.599445193,-0.133370182,BRUV
2022-05_PtCloates_stereo-BRUVS.7,-0.576115787,-0.1427694,BRUV
2022-05_PtCloates_stereo-BRUVS.8,-0.582345655,-0.078154102,BRUV
2022-05_PtCloates_stereo-BRUVS.9,-0.529517828,-0.087235838,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB11,-0.614865707,0.034969565,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB12,-0.337054811,0.196212295,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB13,-0.387541345,0.136549367,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB16,-0.449359541,-0.076175197,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB2,-0.485365617,0.111638944,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB21,-0.234607562,-0.125649932,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB25,-0.479811342,0.048977286,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB28,-0.56117952,-0.007198071,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB29,-0.403362449,-0.067917495,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB3,-0.467559695,-0.022498635,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB30,-0.358499087,0.124458258,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB4,-0.349651536,0.128501817,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCB9,-0.302280949,0.152924012,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP1,-0.441757753,-0.113762257,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBP10,-0.294949385,0.028639495,BRUV
