"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","chrysophrys",477.94292,1,2173.98331
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","miniatus",418.4172,1,1619.3581
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","miniatus",464.64651,1,1376.76737
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","miniatus",381.9903,1,1328.93323
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","miniatus",473.77806,1,1573.8767
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Lethrinus","miniatus",416.54291,1,1285.73738
"2021-05_PtCloates_stereo-BRUVS","17","Nemipteridae","Nemipterus","spp",93.37316,1,2777.35088
"2021-05_PtCloates_stereo-BRUVS","17","Nemipteridae","Nemipterus","spp",114.79307,1,2657.59161
"2021-05_PtCloates_stereo-BRUVS","17","Nemipteridae","Nemipterus","spp",118.20891,1,3356.32001
"2021-05_PtCloates_stereo-BRUVS","17","Labridae","Leptojulis","cyanopleura",103.05897,1,936.70602
"2021-05_PtCloates_stereo-BRUVS","17","Carangidae","Decapterus","spp",533.87064,1,6024.91215
"2021-05_PtCloates_stereo-BRUVS","17","Carangidae","Decapterus","spp",260.30462,1,6005.65675
"2021-05_PtCloates_stereo-BRUVS","17","Carangidae","Decapterus","spp",269.80465,1,5949.63621
"2021-05_PtCloates_stereo-BRUVS","17","Carangidae","Decapterus","spp",401.72156,1,5793.51
"2021-05_PtCloates_stereo-BRUVS","17","Pinguipedidae","Parapercis","nebulosa",91.63095,1,1942.91651
"2021-05_PtCloates_stereo-BRUVS","17","Pinguipedidae","Parapercis","nebulosa",108.07852,1,2071.49834
"2021-05_PtCloates_stereo-BRUVS","17","Nemipteridae","Pentapodus","nagasakiensis",37.21741,1,855.001
"2021-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Gymnocranius","griseus",51.82203,1,1344.62213
"2021-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Gymnocranius","griseus",127.04298,1,2030.45645
"2021-05_PtCloates_stereo-BRUVS","17","Mullidae","Parupeneus","ciliatus",115.20557,1,2405.22382
"2021-05_PtCloates_stereo-BRUVS","17","Serranidae","Unknown","na",269.57255,1,2053.60304
"2021-05_PtCloates_stereo-BRUVS","17","Labridae","Choerodon","sp1",117.35929,1,1310.68181
"2021-05_PtCloates_stereo-BRUVS","17","Carangidae","Carangoides","chrysophrys",459.08314,1,4895.69838
"2021-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Lethrinus","miniatus",471.37092,1,1168.6031
"2021-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Lethrinus","miniatus",415.84546,1,1387.44854
"2021-05_PtCloates_stereo-BRUVS","17","Lutjanidae","Pristipomoides","multidens",506.31232,1,1840.9926
"2021-05_PtCloates_stereo-BRUVS","17","Labridae","Choerodon","zamboangae",262.93573,1,2513.12001
"2021-05_PtCloates_stereo-BRUVS","17","Labridae","Bodianus","solatus",270.67369,1,3604.85272
"2021-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Gymnocranius","grandoculis",209.87616,1,963.99148
"2021-05_PtCloates_stereo-BRUVS","17","Cirrhitidae","Cyprinocirrhites","polyactis",61.23167,1,904.49854
"2021-05_PtCloates_stereo-BRUVS","17","Cirrhitidae","Cyprinocirrhites","polyactis",58.47754,1,920.23238
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",154.64336,1,1947.62563
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",178.43678,1,1390.02935
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",159.41279,1,1396.33019
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",163.40143,1,1296.6852
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",171.90347,1,715.44251
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",146.59725,1,1313.63033
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",186.61483,1,1622.41088
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",158.2845,1,1816.75746
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",168.65569,1,2741.21131
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",173.8957,1,1423.72234
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",148.37434,1,1776.32291
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",154.9848,1,2568.64064
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",159.01519,1,1362.74267
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",151.61688,1,1356.22852
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",167.51929,1,2375.31277
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",143.94648,1,1205.91808
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",145.2488,1,1178.5282
"2021-05_PtCloates_stereo-BRUVS","18","Sparidae","Dentex","spp",158.58285,1,1336.77252
"2021-05_PtCloates_stereo-BRUVS","18","Tetraodontidae","Lagocephalus","lunaris",525.26358,1,1028.04439
"2021-05_PtCloates_stereo-BRUVS","18","Carcharhinidae","Carcharhinus","plumbeus",819.24471,1,1251.69967
"2021-05_PtCloates_stereo-BRUVS","2","Pinguipedidae","Parapercis","nebulosa",171.51612,1,1155.27677
"2021-05_PtCloates_stereo-BRUVS","2","Lethrinidae","Gymnocranius","griseus",129.6265,1,2502.01953
"2021-05_PtCloates_stereo-BRUVS","2","Mullidae","Upeneus","moluccensis",169.94285,1,3591.56062
"2021-05_PtCloates_stereo-BRUVS","2","Lethrinidae","Lethrinus","punctulatus",383.29096,1,1437.2585
"2021-05_PtCloates_stereo-BRUVS","2","Carangidae","Carangoides","chrysophrys",472.2091,1,3849.1692
"2021-05_PtCloates_stereo-BRUVS","2","Serranidae","Epinephelus","areolatus",255.19363,1,1772.59958
"2021-05_PtCloates_stereo-BRUVS","2","Lutjanidae","Lutjanus","sebae",737.81248,1,3094.91085
"2021-05_PtCloates_stereo-BRUVS","2","Serranidae","Epinephelus","areolatus",385.34533,1,1229.77141
"2021-05_PtCloates_stereo-BRUVS","2","Serranidae","Epinephelus","rivulatus",302.21056,1,1497.47452
"2021-05_PtCloates_stereo-BRUVS","2","Sphyraenidae","Sphyraena","qenie",671.15624,1,4655.75597
"2021-05_PtCloates_stereo-BRUVS","2","Lethrinidae","Gymnocranius","grandoculis",260.58343,1,1900.30918
"2021-05_PtCloates_stereo-BRUVS","2","Lethrinidae","Gymnocranius","grandoculis",276.93865,1,1783.49543
"2021-05_PtCloates_stereo-BRUVS","2","Labridae","Bodianus","solatus",291.85766,1,2017.74707
"2021-05_PtCloates_stereo-BRUVS","2","Labridae","Bodianus","solatus",241.21393,1,1737.33592
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",229.53812,1,1013.19381
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",228.33794,1,2370.85149
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",191.30374,1,2572.76275
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",240.55236,1,1526.75311
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",234.96225,1,2469.37153
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",243.22723,1,2912.70634
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",230.87249,1,1848.60496
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",256.69577,1,1731.55614
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",229.67721,1,2607.94143
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",208.41808,1,2797.39601
"2021-05_PtCloates_stereo-BRUVS","2","Nemipteridae","Nemipterus","spp",255.67643,1,1573.20545
"2021-05_PtCloates_stereo-BRUVS","21","Microdesmidae","Ptereleotris","spp",44.69782,1,1386.29705
"2021-05_PtCloates_stereo-BRUVS","21","Pinguipedidae","Parapercis","nebulosa",49.40276,1,783.47708
"2021-05_PtCloates_stereo-BRUVS","21","Pinguipedidae","Parapercis","nebulosa",82.01033,1,738.94225
"2021-05_PtCloates_stereo-BRUVS","21","Pinguipedidae","Parapercis","nebulosa",36.42793,1,1518.69921
"2021-05_PtCloates_stereo-BRUVS","21","Pinguipedidae","Parapercis","nebulosa",95.8571,1,807.96372
"2021-05_PtCloates_stereo-BRUVS","21","Pinguipedidae","Parapercis","nebulosa",41.70522,1,775.37035
"2021-05_PtCloates_stereo-BRUVS","21","Nemipteridae","Parascolopsis","na",165.79665,1,1507.77768
"2021-05_PtCloates_stereo-BRUVS","21","Serranidae","Epinephelus","rivulatus",264.79709,1,2649.78757
"2021-05_PtCloates_stereo-BRUVS","21","Lethrinidae","Gymnocranius","griseus",145.49876,1,785.88285
"2021-05_PtCloates_stereo-BRUVS","21","Lethrinidae","Lethrinus","miniatus",463.77436,1,1736.16143
"2021-05_PtCloates_stereo-BRUVS","21","Lethrinidae","Lethrinus","miniatus",369.11502,1,1513.85942
"2021-05_PtCloates_stereo-BRUVS","21","Lethrinidae","Lethrinus","miniatus",496.21804,1,1664.7089
"2021-05_PtCloates_stereo-BRUVS","21","Lethrinidae","Lethrinus","miniatus",405.69915,1,1500.69527
"2021-05_PtCloates_stereo-BRUVS","21","Lethrinidae","Lethrinus","miniatus",375.57357,1,907.97893
