sample,PCO1,PCO2,method
2021-08_PtCloates_BOSS.PCSB3,-0.009815259,-0.220655936,BOSS
2021-08_PtCloates_BOSS.PCSB30,-0.147034387,-0.138640463,BOSS
2021-08_PtCloates_BOSS.PCSB31,-0.461390495,-0.180145666,BOSS
2021-08_PtCloates_BOSS.PCSB33,-0.077634009,-0.138802038,BOSS
2021-08_PtCloates_BOSS.PCSB34,0.788784762,0.274392646,BOSS
2021-08_PtCloates_BOSS.PCSB38,0.178991233,-0.386431029,BOSS
2021-08_PtCloates_BOSS.PCSB42,0.075082251,-0.335335259,BOSS
2021-08_PtCloates_BOSS.PCSB44,-0.150848205,-0.085573857,BOSS
2021-08_PtCloates_BOSS.PCSB45,0.126128884,-0.154324623,BOSS
2021-08_PtCloates_BOSS.PCSB5,0.235489266,-0.178863062,BOSS
2021-08_PtCloates_BOSS.PCSB7,-0.206723541,0.008144085,BOSS
2021-08_PtCloates_BOSS.PCSB8,0.243095184,-0.200041489,BOSS
2021-08_PtCloates_BOSS.PCSB9,-0.77135517,-0.246015069,BOSS
2021-08_PtCloates_BOSS.PCSBP1,-0.2399815,0.118235164,BOSS
2021-08_PtCloates_BOSS.PCSBP10,-1.48007953,-0.397640606,BOSS
2021-08_PtCloates_BOSS.PCSBP11,-0.06758789,-0.070879599,BOSS
2021-08_PtCloates_BOSS.PCSBP15,0.788784762,0.274392646,BOSS
2021-08_PtCloates_BOSS.PCSBP16,-0.066633692,-0.266509344,BOSS
2021-08_PtCloates_BOSS.PCSBP6,0.031100312,-0.161689287,BOSS
2021-08_PtCloates_BOSS.PCSBP7,0.109316304,-0.344792239,BOSS
2021-08_PtCloates_BOSS.PCSBP8,-0.232985424,0.089207178,BOSS
2021-08_PtCloates_BOSS.PCSBP9,0.19755553,-0.175716584,BOSS
2022-05_PtCloates_stereo-BRUVS.1,-0.346073275,0.334524341,BRUV
2022-05_PtCloates_stereo-BRUVS.11,-0.312074291,0.237222626,BRUV
2022-05_PtCloates_stereo-BRUVS.12,-0.343337522,0.366126111,BRUV
2022-05_PtCloates_stereo-BRUVS.13,-0.321989227,0.287427914,BRUV
2022-05_PtCloates_stereo-BRUVS.14,-0.164390952,0.063364505,BRUV
2022-05_PtCloates_stereo-BRUVS.15,-0.381570281,0.364438021,BRUV
2022-05_PtCloates_stereo-BRUVS.16,-0.368328715,0.37033062,BRUV
2022-05_PtCloates_stereo-BRUVS.17,-0.337391479,0.330554803,BRUV
2022-05_PtCloates_stereo-BRUVS.18,-0.404765737,0.392399412,BRUV
2022-05_PtCloates_stereo-BRUVS.19,-0.27116715,0.211839125,BRUV
2022-05_PtCloates_stereo-BRUVS.2,-0.276213891,0.257668493,BRUV
2022-05_PtCloates_stereo-BRUVS.21,-0.313317228,0.251934492,BRUV
2022-05_PtCloates_stereo-BRUVS.22,-0.331126273,0.354153736,BRUV
2022-05_PtCloates_stereo-BRUVS.23,-0.30004908,0.254910459,BRUV
2022-05_PtCloates_stereo-BRUVS.25,-0.467543794,0.450958559,BRUV
2022-05_PtCloates_stereo-BRUVS.26,-0.273334448,0.22221717,BRUV
2022-05_PtCloates_stereo-BRUVS.27,-0.346087888,0.269563224,BRUV
2022-05_PtCloates_stereo-BRUVS.3,-0.383026927,0.36376695,BRUV
2022-05_PtCloates_stereo-BRUVS.4,-0.324951744,0.330567332,BRUV
2022-05_PtCloates_stereo-BRUVS.5,-0.361010445,0.324174603,BRUV
2022-05_PtCloates_stereo-BRUVS.6,-0.394727401,0.397506156,BRUV
2022-05_PtCloates_stereo-BRUVS.7,-0.376667636,0.388041166,BRUV
2022-05_PtCloates_stereo-BRUVS.8,-0.383410775,0.394776142,BRUV
2022-05_PtCloates_stereo-BRUVS.9,-0.341907949,0.323355582,BRUV
