"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Lutjanidae","Pristipomoides","spp",NA,0,NA,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Pinguipedidae","Parapercis","nebulosa",NA,1,1808.95705,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Priacanthidae","Priacanthus","spp",NA,0,NA,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Sparidae","Dentex","spp",NA,0,NA,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","SUS","SUS","sus",NA,1,2275.75605,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13","Triakidae","Unknown","spp",NA,0,NA,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.13","2021-05_PtCloates_BOSS","13",NA,NA,NA,NA,0,NA,-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Carangidae","Carangoides","sp10",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Carangidae","Pseudocaranx","spp",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Carcharhinidae","Carcharhinus","spp",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Holocentridae","Sargocentron","spp",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Lutjanidae","Pristipomoides","spp",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Pinguipedidae","Parapercis","nebulosa",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Priacanthidae","Priacanthus","spp",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Sparidae","Dentex","spp",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","SUS","SUS","sus",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.15","2021-05_PtCloates_BOSS","15","Triakidae","Unknown","spp",NA,0,NA,-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA"
