"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2022-05_PtCloates_BOSS","B48",-22.6963,113.5594,"2022-05-26","11:21:54","Pt Cloates","No-take",NA,79.6,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","B47",-22.6996,113.5589,"2022-05-26","11:38:31","Pt Cloates","No-take",NA,78.5,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","127",-22.7005,113.5554,"2022-05-26","11:51:10","Pt Cloates","No-take",NA,83.7,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","140",-22.6991,113.5537,"2022-05-26","12:03:42","Pt Cloates","No-take",NA,88.6,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","156",-22.6978,113.5511,"2022-05-26","12:18:11","Pt Cloates","No-take",NA,93,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","117",-22.6936,113.551,"2022-05-26","12:57:55","Pt Cloates","No-take",NA,96,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","124",-22.6922,113.5552,"2022-05-26","13:10:34","Pt Cloates","No-take",NA,89.5,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","151",-22.6909,113.5557,"2022-05-26","13:26:41","Pt Cloates","No-take",NA,90,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","108",-22.6897,113.5545,"2022-05-26","13:40:34","Pt Cloates","No-take",NA,94.2,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","B51",-22.6901,113.5612,"2022-05-27","10:45:05","Pt Cloates","No-take",NA,80.3,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","145",-22.6889,113.5583,"2022-05-27","10:58:18","Pt Cloates","No-take",NA,84.9,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","135",-22.6882,113.5601,"2022-05-27","11:10:54","Pt Cloates","No-take",NA,81.5,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","123",-22.6861,113.5646,"2022-05-27","11:22:58","Pt Cloates","No-take",NA,77.7,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","B53",-22.6838,113.5636,"2022-05-27","11:37:31","Pt Cloates","No-take",NA,78.6,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","B61",-22.6777,113.5657,"2022-05-27","11:52:52","Pt Cloates","No-take",NA,78.8,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","B63",-22.6744,113.5666,"2022-05-27","12:07:38","Pt Cloates","No-take",NA,79.7,"Molly","Yes",NA
"2022-05_PtCloates_BOSS","B57",-22.6751,113.5611,"2022-05-27","12:20:20","Pt Cloates","No-take",NA,88.1,"Molly","Yes",NA
